id,date mixed,reservoir,rez_id,reservoir size (g),reservir size (L),system,reservoir fill volume (g),reservoir fill volume (L),top-up or full reset,ingredient 1,ingredient 1 quantity (ml),ingredient 2,ingredient 2 quantity (ml),ingredient 3,ingredient 3 quantity (ml),ingredient 4,ingredient 4 quantity (ml),ingredient 5,ingredient 5 quantity (ml),ingredient 6,ingredient 6 quantity (ml),ingredient 7,ingredient 7 quantity,ingredient 8,ingredient 8 quantity,ingredient 9,ingredient 9 quantity,ingredient 10,ingredient 10 quantity
21,5/17/2018,M,,27,103,Naga,25,95,full reset,vinegar,120,hydrogen peroxide,90,flora gro,125,flora micro,125,flora bloom,125,rock supercharge,100,,,,,,,,
22,5/17/2018,Young Lucius,,12,46,N/A - Germination,5,19,full reset,vinegar,30,hydrogen peroxide,30,flora gro,4,flora micro,4,flora bloom,4,rock supercharge,20,,,,,,,,
23,5/21/2018,YC,,27,103,Dumbo,15,57,,vinegar,120,hydrogen peroxide,90,flora gro,225,flora micro,150,flora bloom,75,rock supercharge,60,,,,,,,,
24,5/21/2018,Young Seyward,,27,103,Sue + David Racks,22,84,full reset,vinegar,120,hydrogen peroxide,90,flora gro,110,flora micro,110,flora bloom,110,rock supercharge,80,,,,,,,,
25,5/21/2018,MIZ,,12,46,N/A - Germination,6,23,full reset,vinegar,30,hydrogen peroxide,30,flora gro,9,flora micro,9,flora bloom,9,rock supercharge,24,,,,,,,,
26,5/29/2018,M,,27,103,Naga,10,38,,"bottom half of contents of Young Seyward, hooked up to Sue + David shelf",10,,,,,,,,,,,,,,,,,,
27,5/29/2018,S,,27,103,Sue + David Racks,25,95,full reset,vinegar,120,hydrogen peroxide,90,flora gro,125,flora micro,125,flora bloom,125,rock supercharge,100,,,,,,,,
28,5/29/2018,BOZ,,12,46,N/A - Germination,10,38,full reset,vinegar,30,hydrogen peroxide,30,flora gro,13,flora micro,13,flora bloom,13,rock supercharge,40,,,,,,,,
29,6/5/2018,BOZ,,12,46,N/A - Germination,10,38,full reset,vinegar,30,hydrogen peroxide,30,flora gro,10,flora micro,10,flora bloom,10,rock supercharge,40,,,,,,,,
30,6/7/2018,S,,27,103,Sue + David Racks,25,95,full reset,vinegar,120,hydrogen peroxide,90,flora gro,125,flora micro,125,flora bloom,125,rock supercharge,75,,,,,,,,
31,6/12/2018,BOZ,,12,46,N/A - Germination,10,38,full reset,vinegar,30,hydrogen peroxide,30,flora gro,15,flora micro,15,flora bloom,15,rock supercharge,40,,,,,,,,
32,6/12/2018,YC,,27,103,Dumbo,25,95,full reset,vinegar,120,hydrogen peroxide,90,flora gro,405,flora micro,269,flora bloom,134,rock supercharge,85,,,,,,,,
33,6/18/2018,S,,27,103,Sue + David Racks,20,76,full reset,vinegar,90,hydrogen peroxide,60,flora gro,100,flora micro,100,flora bloom,100,,,,,,,,,,
34,6/18/2018,M,,27,103,Naga,10,38,,vinegar,60,hydrogen peroxide,30,flora gro,50,flora micro,50,flora bloom,50,,,,,,,,,,
35,6/21/2018,BOZ,,12,46,N/A - Germination,10,38,full reset,vinegar,30,hydrogen peroxide,30,flora gro,15,flora micro,15,flora bloom,15,,,,,,,,,,
36,6/28/2018,BOZ,,12,46,N/A - Germination,6,23,full reset,vinegar,30,hydrogen peroxide,30,flora gro,8,flora micro,8,flora bloom,8,rock supercharge,20,,,,,,,,
37,6/28/2018,S,,27,103,Sue + David Racks,6,23,,vinegar,30,hydrogen peroxide,30,flora gro,8,flora micro,8,flora bloom,8,,,,,,,,,,
38,7/2/2018,YC,,27,103,Dumbo,18,69,,"bottom of M resevoir contents, hooked up to Naga",18,vinegar,60,hydrogen peroxide,60,flora gro,,flora micro,,flora bloom,,,,,,,,,
39,7/2/2018,M,,27,103,Naga,25,95,full reset,vinegar,120,hydrogen peroxide,90,flora gro,125,flora micro,125,flora bloom,125,rock supercharge,100,,,,,,,,
40,7/2/2018,S,,27,103,Sue + David Racks,25,95,full reset,vinegar,120,hydrogen peroxide,90,flora gro,125,flora micro,125,flora bloom,125,rock supercharge,100,,,,,,,,
41,7/2/2018,BOZ,,12,46,N/A - Germination,6,23,full reset,vinegar,30,hydrogen peroxide,30,flora gro,8,flora micro,8,flora bloom,8,rock supercharge,24,,,,,,,,
42,7/9/2018,BOZ,,12,46,N/A - Germination,6,23,full reset,vinegar,30,hydrogen peroxide,30,flora gro,8,flora micro,8,flora bloom,8,rock supercharge,24,,,,,,,,
43,7/12/2018,BOZ,,12,46,N/A - Germination,6,23,full reset,vinegar,30,hydrogen peroxide,30,flora gro,8,flora micro,8,flora bloom,8,rock supercharge,24,,,,,,,,
44,7/14/2018,S,,27,103,Sue + David Racks,6,23,,vinegar,30,hydrogen peroxide,30,flora gro,8,flora micro,8,flora bloom,8,rock supercharge,20,,,,,,,,
