id,started_date,crop,crop_variety,seed_brand,medium,format,seed_weight_oz,seed_media_treatment_notes,first_emerge_date,full_emerge_date,emergence_notes,date_of_first_transplant,date_of_second_transplant,harvested_on,harvest_weight_oz,hrvst_wt_lbs,harvest_week,harvest_notes,created_at,updated_at,flat_id,date_of_third_transplant,former_flat_id,seed_treatments_id,days_to_harvest_from_sew,days_to_harvest_from_soak,room_id,current_system_id,exclude_from_freshlist,force_onto_freshlist,sewn_for
41,2018-01-16,radish,red arrow,mountain valley seed co,biostrate felt,matt,0.5,no treatment,2018-01-17,2018-01-17,"",2018-01-22,2018-02-01,2018-10-05,9.45,0.590625,40,DONE,2018-01-22 15:38:18 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
105,2018-02-20,kale,red russian,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-02-21,2018-02-23,"",2018-02-28,2018-03-02,2018-10-05,4.52,0.2825,40,formerly flat # Franky | ,2018-02-20 15:15:10 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
45,2018-01-24,kale,red russian,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-01-25,2018-01-26,"",2018-02-01,2018-02-07,2018-10-05,7.74,0.48375,40,"",2018-01-24 11:46:35 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
5,2018-01-18,broccoli,waltham 29,mountain valley seed co,biostrate felt,matt,0.5,no treatment,2018-01-19,2018-01-21,"",2018-01-29,2018-02-01,2018-10-05,7.82,0.48875,40,"",2018-01-18 09:54:04 -0800,2018-10-05 09:38:26 -0700,,2018-02-13,,,,,1,,,,
6,2018-01-18,broccoli,waltham 29,mountain valley seed co,biostrate felt,matt,0.5,no treatment,2018-01-19,2018-01-21,"",2018-01-29,2018-02-01,2018-10-05,8.37,0.523125,40,"",2018-01-18 09:57:23 -0800,2018-10-05 09:38:26 -0700,,2018-02-12,,,,,1,,,,
29,2018-01-12,broccoli,waltham 29,mountain valley seed co,biostrate felt,matt,0.5,no treatment,2018-01-13,2018-01-14,"",2018-01-16,2018-01-22,2018-10-05,12.98,0.81125,40,DONE,2018-01-22 15:28:38 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
44,2018-01-24,broccoli,waltham 29,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-01-25,2018-01-25,"",2018-02-01,2018-02-05,2018-10-05,6.46,0.40375,40,formerly flat #  | DONE,2018-01-24 11:37:35 -0800,2018-10-05 09:38:26 -0700,,2018-02-08,,,,,1,,,,
32,2018-01-14,broccoli,waltham 29,mountain valley seed co,biostrate felt,matt,0.5,no treatment,2018-01-15,2018-01-16,"",2018-01-19,2018-01-29,2018-10-05,10.17,0.635625,40,DONE,2018-01-22 15:32:32 -0800,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
177,2018-03-21,sunflower,black oil,rexseed,biostrate felt,matt,2.0,24 hrs nut sol soak. 4 days germination in tupperware. 40 sprays nutsol on sew.,2018-03-23,2018-03-23,"",2018-03-24,2018-04-02,2018-10-05,7.21,0.450625,40,formerly flat # WHITE | ,2018-03-20 21:32:10 -0700,2018-10-05 09:38:26 -0700,,2018-04-10,,,,,1,,,,
238,2018-04-02,kale,red russian,mountain valley seed co,biostrate felt,matt,0.5,no treatment,2018-04-03,2018-04-04,"",2018-04-12,2018-04-19,2018-10-05,5.55,0.346875,40,formerly flat # S | some of flat killed due to wet and bending,2018-04-02 14:10:10 -0700,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
397,2018-05-09,cilantro,chinese parsely,kitazawa seed co,biostrate felt,matt,2.7,treatment id #9,2018-05-10,2018-05-11,"",2018-05-14,2018-05-20,2018-10-05,7.91,0.494375,40,formerly flat # HOLE | ,2018-05-09 09:56:46 -0700,2018-10-05 09:38:26 -0700,,,,,,,1,,,,
1651,2018-11-22,radish,purple sango,mountain valley seed co,biostrate felt,matt,0.75,no treatment,2018-11-23,2018-11-24,"",,,,,,,"",2018-11-22 01:52:18 -0800,2018-11-23 19:33:51 -0800,BARGE,,,,,,1,2,false,false,""
